"","INI","BOOU","DEER","EZLE","GRCL","LENO","LETH","LOVA","MATA","MOHU","NIJO","PAMA","TRWI","ZAMI"
"F3DeltaMean",9.50009572282661,10.1574171879969,0.175765308544449,0.205255859967866,0.364761929997828,0.095577886006181,0.750111419596001,0.0724634425252664,0.182748675999897,0.214104471664489,0.129758592394524,1.31994701605008,0.308091806081032,1.56735785690283
"FzAlphaMean",0.291838275025577,0.329757619387763,1.73761903249027,1.87855380011943,0.232365527563974,0.146605817187796,0.929929819887869,7.26441064361266,0.950530698166158,0.414837032744534,0.097221246043966,0.405566284860291,5.67750421612366,0.813291900515156
"FzBetaMean",0.547423152875428,0.459955315359854,0.662868113326103,0.534511137631062,0.720882413126597,0.205272722397028,0.82638803987384,0.335878398927207,0.527112242863079,0.3931835494129,1.42951931956797,0.572299193582683,1.12442134075418,0.398852335476441
"FzThetaMean",0.3308962063778,0.338881378594951,0.382062451402239,0.429285346140661,0.356525564838436,0.354344526052067,0.869423915368193,0.196590043443607,0.123637592055229,0.210967644255521,0.0666508412289172,0.437446390177167,0.437415200735571,0.0813029756075773
"FzDeltaMean",0.436650712935949,0.502394489039906,0.128870267553359,0.333676472619069,0.362813494090403,0.169202465976275,1.03176864277425,0.239612920905989,0.10350522978926,0.19968377562368,0.0698187462569382,0.416411183801947,0.222789523120182,0.0989571380200343
"F4AlphaMean",0.256155248642395,0.486145248537503,2.17351708567146,0.624873444045746,0.301050585648671,0.232033052593426,0.831892560629474,9.04017278343811,0.550911644503817,0.210574975580566,0.163960836464041,0.311760280775369,0.883197745269132,0.99824856051685
"F4BetaMean",0.390255979564731,0.325920069361594,1.03615972856851,1.90266757551055,0.503200837007956,0.139235171654629,0.795126199852136,0.103697469417235,2.43283228982573,0.228231894272809,4.03865771483355,0.576981845126194,0.211631796664779,9.88096147688599
"F4ThetaMean",0.433679171143708,0.36672377129267,0.381893815120419,0.686681433514502,0.247342727160124,0.372315664161629,0.965035766041588,0.167593129715292,0.126522314237064,0.0855204593868895,0.0970183734880429,0.422128597286666,0.290223303014943,0.267062078165778
"F4DeltaMean",0.484519647462149,0.585131180507297,0.163212081152516,9.72920491638098,0.341466215050459,0.175215488643709,1.13494820729622,0.321353540888384,0.123838633313422,0.198979868308194,0.181705850055797,0.403956102524806,0.159323879509785,0.284420386870227
"F8AlphaMean",0.212255125165999,0.326792938699911,1.50187472217963,1.64000673572884,0.297234028762804,0.222089768126522,0.79587380119856,8.77312698557097,0.250119413319433,0.383565869207651,0.555557799644266,0.521335428396427,0.745623849579014,0.159898454694022
